name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,universe,strategy
v3__sp500_pit,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,1.0309443895155632,0.7301722273690158,-0.2976965019041197,-0.4745918757975244,27.994518269377345,10,9,10,sp500_pit,v3
A__sp500_pit,0.3820068043712843,0.1194382410561079,26.256856331517643,0.9706635072032087,-0.4598487549751292,4,0.42483187571768866,0.3477814420211862,0.20917687748306846,1.0609166145484568,1.125386616744096,0.8034466698267463,-0.2943144445298633,-0.3968204881178004,27.6771678378254,10,9,10,sp500_pit,A
B__sp500_pit,0.41541482152742115,0.1194382410561079,29.597658047131326,1.0165811425889677,-0.4598487549751294,4,0.4615404680891605,0.3697980880874061,0.24158564328156973,1.0609166145484568,1.1452065125708526,0.8225349559587805,-0.3301644516896175,-0.4584918406598708,31.348027074972585,10,10,10,sp500_pit,B
v3__broader_1811,0.509418511805847,0.1194382410561079,38.998027074973905,0.9117075621694972,-0.6245230993469499,4,0.5183160715448172,0.41779949031327124,0.1372785194246291,1.2375020707770892,0.9578135227307041,0.48774958219724923,-0.42840312274643183,-0.5665667398861948,37.02558742053826,10,10,10,broader_1811,v3
A__broader_1811,0.5073486987214502,0.1194382410561079,38.791045766534225,0.9776849272054058,-0.5673078049632426,4,0.6189822011438729,0.5065429316799093,0.07807598502030033,1.4546791714266742,1.0670831154236242,0.37485683901971,-0.37091261073674653,-0.4693583175201434,47.09220038044383,10,9,10,broader_1811,A
B__broader_1811,0.4679426352679532,0.1194382410561079,34.85043942118453,0.92617572500975,-0.5673078049632427,4,0.5043950175305574,0.4089170567581458,0.08671711969673046,1.4546791714266742,0.9435764293990981,0.38788213706689645,-0.3824993397440657,-0.4693583175201434,35.633482019112265,10,8,10,broader_1811,B
v3__non_sp500,0.482154521099756,0.1194382410561079,36.27162800436481,0.8956195451276143,-0.6245230993469499,4,0.510252856252802,0.425327686297873,0.21374120097888638,0.9994699833695622,0.9723814434018205,0.6368291237845374,-0.43826022288789207,-0.5665667398861947,36.21926589133674,10,10,10,non_sp500,v3
A__non_sp500,0.46669620962055136,0.1194382410561079,34.72579685644435,0.9504386396187303,-0.5519975629189134,4,0.5961047448594233,0.5395811861143766,0.15076687814335377,1.1124236823511606,1.0730535402965358,0.5443280212849236,-0.36960205731564627,-0.4693583175201434,44.80445475199887,10,10,10,non_sp500,A
B__non_sp500,0.435424261514052,0.1194382410561079,31.59860204579441,0.9062077903478054,-0.5519975629189133,4,0.4918333543753871,0.4025544126834899,0.20343053637242026,1.1124236823511606,0.9665468926431424,0.6226000923940476,-0.3731866244516523,-0.4693583175201434,34.377315703595244,10,9,10,non_sp500,B
v3__rand500_s1,0.4289406292048974,0.1194382410561079,30.95023881487895,0.8552232002685466,-0.8253992218026956,4,0.3858388462758141,0.2384123814644118,-0.4695135325222113,2.020169209381781,0.7091397071842737,-0.35698899292630254,-0.4737732971445479,-0.7604302166164014,23.777864893637943,8,6,10,rand500_s1,v3
