strategy,split,cagr,sharpe,max_dd,edge_pp,spy_cagr
v3,A1,0.22877606618264035,0.9039063430302811,-0.35390577141144486,8.79670603470213,0.14080900583561906
v3,A2,0.35372846663093793,0.8896115365852714,-0.35390577141144475,20.66036403684246,0.14712482626251333
v3,A3,0.3894938823404377,0.8985786767713427,-0.35390577141144486,24.197761138591733,0.14751627095452036
v3,R1_GFC,1.0879351638068608,1.2497703444569324,-0.4745918757975244,108.74625678080375,0.00047259599882343295
v3,R2,0.43128261774350896,1.3788435384137174,-0.21278097184504646,27.50203975192358,0.15626222022427316
v3,R3,0.14492104439496223,0.7301722273690158,-0.1496678898420978,-1.5240653660877124,0.16016169805583935
v3,R4,0.19597616155772335,0.7608997134101493,-0.3539057714114448,6.551426095002655,0.1304619006076968
v3,R5_COVID,0.6219527077799107,1.024891712713493,-0.2997878904769665,56.56426405294659,0.05631006725044485
v3,R6_AI,0.4084645139542238,1.3520484968661928,-0.1247254149568162,4.895514129685741,0.3595093726573664
v3,STRICT,0.4175231759408744,1.120721305539238,-0.2997878904769665,23.554916039362507,0.18197401554724935
A,A1,0.2697459980817847,1.1196784187600497,-0.37364181754203274,12.893699224616562,0.14080900583561906
A,A2,0.4178653042740912,1.0208458664272255,-0.3736418175420329,27.074047801157786,0.14712482626251333
A,A3,0.3376940806499884,0.8279746507232053,-0.3736418175420329,19.017780969546806,0.14751627095452036
A,R1_GFC,1.0609166145484568,1.2884405692568164,-0.3968204881178004,106.04440185496333,0.00047259599882343295
A,R2,0.3214806365926033,1.3510275882569078,-0.19055178552490662,16.521841636833013,0.15626222022427316
A,R3,0.3386429942446496,1.508920644612713,-0.08705198168745466,17.848129618881025,0.16016169805583935
A,R4,0.20917687748306846,0.8034466698267463,-0.37364181754203285,7.871497687537166,0.1304619006076968
A,R5_COVID,0.5370235423262779,0.9480194660431452,-0.32276626836141475,48.071347507583305,0.05631006725044485
A,R6_AI,0.3569198897977228,1.2733022174638207,-0.12862038307751045,-0.2589482859643555,0.3595093726573664
A,STRICT,0.398852819178243,1.1122100760703304,-0.32276626836141475,21.687880363099367,0.18197401554724935
B,A1,0.2748305237418902,1.0684440694540325,-0.4584918406598707,13.402151790627116,0.14080900583561906
B,A2,0.5068875205631627,1.1310932105273945,-0.4584918406598708,35.97626943006493,0.14712482626251333
B,A3,0.4127259704060071,0.9216912610503234,-0.45849184065987075,26.520969945148675,0.14751627095452036
B,R1_GFC,1.0609166145484568,1.2884405692568164,-0.3968204881178004,106.04440185496333,0.00047259599882343295
B,R2,0.3007751274570907,1.2770250287432776,-0.19055178552490662,14.451290723281751,0.15626222022427316
B,R3,0.3386429942446496,1.508920644612713,-0.08705198168745466,17.848129618881025,0.16016169805583935
B,R4,0.24158564328156973,0.8225349559587805,-0.4584918406598708,11.112374267387292,0.1304619006076968
B,R5_COVID,0.7394441104739662,1.133772447723098,-0.33231625792450975,68.31340432235213,0.05631006725044485
B,R6_AI,0.37102773994971394,1.3146159239028334,-0.12862038307751045,1.1518367292347564,0.3595093726573664
B,STRICT,0.3685684362250983,0.9855270144792568,-0.33231625792450975,18.659442067784894,0.18197401554724935
