split,best_kb,train_perf_by_kb,test_cagr,test_sharpe,test_max_dd,test_spy_cagr,test_edge_pp,test_v3_cagr,test_v3_edge_pp,lift_pp_vs_v3
A1,1,"{1: 0.5368340930565967, 2: 0.4876866895310823, 3: 0.4656092574273334, 4: 0.46942044923355364, 5: 0.47380937146304936}",0.2351835758909957,0.9428865537008423,-0.5244694226594753,0.14080900583561906,9.437457005537663,0.22877606618264035,8.79670603470213,0.6407509708355352
A2,1,"{1: 0.43974346289162547, 2: 0.3991878093523742, 3: 0.3915217097367938, 4: 0.3929369408546042, 5: 0.39350788589735997}",0.41664875019067416,0.9773623718575497,-0.5244694226594754,0.14712482626251333,26.952392392816083,0.35372846663093793,20.66036403684246,6.292028355973622
A3,1,"{1: 0.46489945335682337, 2: 0.4272575369521381, 3: 0.4122574098242455, 4: 0.40814166152060505, 5: 0.4075043548372954}",0.2802529621553529,0.7076476523080156,-0.5244694226594753,0.14751627095452036,13.273669120083254,0.3894938823404377,24.197761138591733,-10.92409201850848
R1_GFC,1,"{1: 0.25430698173855304, 2: 0.18717858849763513, 3: 0.15751714170008824, 4: 0.1626156134088117, 5: 0.16849830304069946}",1.0609166145484568,1.2884405692568164,-0.3968204881178004,0.00047259599882343295,106.04440185496333,1.0879351638068608,108.74625678080375,-2.701854925840408
R2,1,"{1: 0.5368340930565967, 2: 0.4876866895310823, 3: 0.4656092574273334, 4: 0.46942044923355364, 5: 0.47380937146304936}",0.3383708804039194,1.3983198022377668,-0.19055178552490662,0.15626222022427316,18.210866017964623,0.43128261774350896,27.50203975192358,-9.291173733958956
R3,1,"{1: 0.47636237277299553, 2: 0.4308133527677742, 3: 0.42221761196388474, 4: 0.42380411907730875, 5: 0.42444420596544297}",0.3386429942446496,1.508920644612713,-0.08705198168745466,0.16016169805583935,17.848129618881025,0.14492104439496223,-1.5240653660877124,19.372194984968736
R4,1,"{1: 0.4441893012664726, 2: 0.40953669363328626, 3: 0.4029696098379152, 4: 0.4041823603226382, 5: 0.40467156650887026}",0.10920863087111643,0.4816374725613852,-0.5244694226594754,0.1304619006076968,-2.125326973658037,0.19597616155772335,6.551426095002655,-8.676753068660691
R5_COVID,2,"{1: 0.37585651552136845, 2: 0.3770700481096343, 3: 0.36518212411780504, 4: 0.3618618246634926, 5: 0.3634329156957097}",0.7394441104739662,1.133772447723098,-0.33231625792450975,0.05631006725044485,68.31340432235213,0.6219527077799107,56.56426405294659,11.749140269405544
R6_AI,2,"{1: 0.4042084402284052, 2: 0.427903847139377, 3: 0.3905301477413794, 4: 0.3747236934131335, 5: 0.37921449630158954}",0.37102773994971394,1.3146159239028334,-0.12862038307751045,0.3595093726573664,1.1518367292347564,0.4084645139542238,4.895514129685741,-3.7436774004509843
STRICT,1,"{1: 0.43570530749498704, 2: 0.4352109928938417, 3: 0.38470176075368356, 4: 0.37341455635598186, 5: 0.3784352955817818}",0.2626877967716388,0.738300102429383,-0.5088891720605276,0.18197401554724935,8.071378122438944,0.4175231759408744,23.554916039362507,-15.483537916923563
