alpha_yr,p10,median,p90,mean,n_iters
0.0,37.86659131979844,37.86659131979844,37.86659131979844,37.866591319798445,30
0.02,30.66932446697026,34.03289429825362,37.86659131979844,34.024264564656455,30
0.04,22.36626585278978,31.52791109243115,37.348583115614744,30.3119160541309,30
0.06,17.89292627989821,26.332086900650154,33.93368335459905,25.626989206895196,30
0.08,12.405132820930257,22.34668057180308,30.035633993434672,21.92318138911005,30
0.12,9.97597117778039,17.12404813758026,24.597800489918853,17.55880591850226,30
0.16,-1.1106535073566257,11.490430369562365,23.659790538374043,11.483088841484006,30
0.2,-6.500142142551082,3.3085057309860333,14.651865139315207,4.059428635647453,30
