name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits
08_k3_h4_safer_tlt,0.1705896525238786,0.10364341347155759,6.6946239052321,0.6459091565068155,-0.6015460956214246,0,0.17122415288935539,0.17219018502669625,-0.02233911329809546,0.4273390426994097,0.611725477082262,0.08040112196215572,-0.4084566160955034,-0.6015460956214248,4.716485519589298,8,5,10
06_k2_h2_safer_tlt,0.1527341068649577,0.10364341347155759,4.909069339340011,0.5534080802198064,-0.6888437556197613,0,0.13615226354976703,0.11996519338897793,-0.09974384839313233,0.5600577545945775,0.43059304308568513,-0.1489432726858886,-0.5383033161803249,-0.6888437556197612,1.2092965856304665,7,5,10
13_k1_h2_safer_tlt_halfwarn,0.11788105411756056,0.10364341347155759,1.423764064600297,0.4576264995136134,-0.7719297971541329,0,0.1344445713783841,-0.02845193449402278,-0.1391833990369099,1.0834168312169643,0.3946359950335821,-0.11921524920146663,-0.587397247028816,-0.7540574162338204,1.0385273684921645,5,5,10
04_k1_h4_safer_tlt,0.06677405488740429,0.10364341347155759,-3.68693585841533,0.3851711784387611,-0.8690522185043694,0,0.12789558056182862,-0.07877751618572504,-0.3457289840577519,1.2981895605118763,0.24049504987621786,-0.7315171097306761,-0.6246330796038612,-0.8468217100686563,0.38362828683662187,4,4,10
11_k1_h2_strict_tlt,0.0831261476716425,0.10364341347155759,-2.0517265799915085,0.41779034322151143,-0.8927673859646197,0,0.12626347127854598,-0.0840653262097219,-0.1771207978999524,1.2340079005909272,0.3560136125464749,-0.22656110669127677,-0.6498059971873306,-0.7946306921700856,0.22041735850835592,4,4,10
03_k1_h2_safer_tlt,0.10355901416439339,0.10364341347155759,-0.008439930716419575,0.4398157840408427,-0.8209187394841412,0,0.12423910908880083,-0.048261533886578833,-0.15830175126803914,0.983889667164833,0.3846637345457361,-0.15412361707818356,-0.6295255740546221,-0.7751893454028758,0.017981139533841527,4,4,10
07_k3_h1_safer_tlt,0.33604434891513923,0.10364341347155759,23.240093544358164,0.32573722471882177,-0.6218036629202324,0,0.11809379202970141,0.1321346900745115,-0.0432421799848256,0.3844905541411876,0.4646996776337969,-0.007363669216939803,-0.4574598404432062,-0.5585006140278548,-0.5965505663760993,8,5,10
05_k2_h1_safer_tlt,0.3802288375672449,0.10364341347155759,27.65854240956873,0.30892443911565315,-0.7191156034190579,0,0.10222078157926548,0.11417011925141463,-0.0838111948413921,0.44650451279328096,0.37105318208512117,-0.16996227247290668,-0.5483313233610112,-0.6386069890907538,-2.1838516114196915,7,3,10
09_k1_h1_tight_tlt,1.018540994693701,0.10364341347155759,91.48975812221434,0.2218092682514757,-0.9728518664327008,0,0.07551293519485079,0.04918607410294962,-0.23955019296746893,0.4912239604371429,0.44903897510820256,0.00799872394042996,-0.7148266580551564,-0.8759678596547533,-4.854636249861161,6,3,10
10_k1_h1_strict_tlt,0.2919573144425682,0.10364341347155759,18.831390097101064,0.27505417679037397,-0.9596135038573123,0,-0.022228274045890006,-0.028792048947125393,-0.29137380172776206,0.33168723767706276,0.23306177331170433,-0.311628603529499,-0.7169908969905533,-0.8810269220966358,-14.628757173935242,3,2,10
12_k1_h1_safer_tlt_halfwarn,0.2998644026208763,0.10364341347155759,19.622098914931875,0.2721943831043328,-0.9099245730551864,0,-0.029918164164571194,-0.03627399489449301,-0.27026764957199956,0.2467773648003735,0.20601665190848503,-0.17843373790530606,-0.6585884071208878,-0.8316087661599709,-15.39774618580336,3,2,10
02_k1_h1_safer_cash,0.2775257009358718,0.10364341347155759,17.388228746431423,0.27136034337381176,-0.9613551964999394,230,-0.04254167889829306,-0.06592304449651126,-0.2640561361075451,0.26847149653943614,0.18346240852331722,-0.11326447556711312,-0.6739680653168474,-0.864656271696178,-16.66009765917555,2,2,10
01_k1_h1_safer_tlt,0.27497150733250164,0.10364341347155759,17.132809386094404,0.27154841457802886,-0.9572709007735876,0,-0.04592403458901149,-0.06869476361302757,-0.2453387008572655,0.2798671417456262,0.17625187490994937,-0.17183570854674463,-0.6991493149660383,-0.8581260473181421,-16.99833322824739,2,2,10
