name,alpha,seed,wf_mean_cagr,cagr_full,sharpe,max_dd,wf_n_pos,wf_n_beats_spy
v8_moderate,0.0,1,0.6942778860087039,0.5989350856557227,1.1232205619616997,-0.5835934056810983,10,10
v8_moderate,0.02,1,0.6942778860087039,0.5379733971556886,1.044013378782127,-0.6199014375878998,10,10
v8_moderate,0.02,2,0.6391884913048301,0.544209254410966,1.0527203377663752,-0.7406661419888911,10,10
v8_moderate,0.02,3,0.6456390222505435,0.5312516035599941,1.036570541012016,-0.684618013574647,10,10
v8_moderate,0.04,1,0.560419742838377,0.497555362351916,0.9938570072576495,-0.7458730778781146,10,10
v8_moderate,0.04,2,0.5438589009867238,0.4949911283913164,1.0014085094528309,-0.5835934056810983,10,10
v8_moderate,0.04,3,0.6942778860087039,0.5989350856557227,1.1232205619616997,-0.5835934056810983,10,10
v8_safe,0.0,1,0.5501988753034615,0.47803256970801433,1.0987445929120323,-0.5689464313518127,10,10
v8_safe,0.02,1,0.5501988753034615,0.43966414744337623,1.0273428048105129,-0.5689464313518128,10,10
v8_safe,0.02,2,0.5175290523962384,0.4449536686555371,1.0356389068083154,-0.6279461582307396,10,10
v8_safe,0.02,3,0.5166738048383903,0.435011768304979,1.0203530779351115,-0.5689464313518127,10,10
v8_safe,0.04,1,0.4507669353680761,0.40510757727354263,0.9665307072223098,-0.626764062144386,10,10
v8_safe,0.04,2,0.4488404680927827,0.40729437775401434,0.9857467029979593,-0.5689464313518127,10,10
v8_safe,0.04,3,0.5501988753034615,0.47803256970801433,1.0987445929120323,-0.5689464313518127,10,10
v8_max_cagr,0.0,1,0.9381168460009011,0.7740617561925107,1.0937997914245836,-0.7271447263050416,10,10
v8_max_cagr,0.02,1,0.9381168460009011,0.7740617561925107,1.0937997914245836,-0.7271447263050416,10,10
v8_max_cagr,0.02,2,0.9381168460009011,0.7740617561925107,1.0937997914245836,-0.7271447263050416,10,10
v8_max_cagr,0.02,3,0.9210222130228036,,0.8680749681951409,-7.395139357095659,6,6
v8_max_cagr,0.04,1,0.9381168460009011,,0.9512992995215036,-38900.996876796526,10,10
v8_max_cagr,0.04,2,0.9947129920343021,,0.8220111673808647,-113.6025265474935,8,8
v8_max_cagr,0.04,3,1.1923912876301506,,0.609121853903512,-6.941429102273179,4,4
