start,trough,end,depth_pct
2009-08-31,2009-10-30,2011-01-31,-75.87660989261919
2023-06-30,2024-03-28,2024-10-31,-64.50506236667593
2018-07-31,2019-07-31,2020-10-30,-64.24210543019213
2007-08-31,2009-01-30,2009-04-30,-61.32429776928612
2011-06-30,2012-04-30,2012-09-28,-53.986992938088996
2009-04-30,2009-05-29,2009-07-31,-51.74784079548106
2021-12-31,2022-08-31,2023-02-28,-41.273438524590254
2024-12-31,2025-02-28,2025-07-31,-40.148844309808936
