name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,filter_kind,threshold,k,weighting,hold
ml_filt_above200_0_k2_ew_h3,0.24182541946067126,0.1194382410561079,12.238717840456337,0.8751780231019911,-0.714032228925846,5,0.24929460274404427,0.2425618528481095,0.016910534240522468,0.4970936847978986,0.8349859844287453,0.2539867113558618,-0.35609581240880805,-0.5855562180134982,10.123440540460969,10,8,10,above200,0.0,2,ew,3
ml_filt_above200_-5_k2_ew_h3,0.25333517043005505,0.1194382410561079,13.389692937394715,0.8715296185870854,-0.8473739944602342,5,0.25109271145101114,0.265612266485622,-0.17579659379355383,0.515444254692708,0.8661945603171709,-0.15608265788527617,-0.3784860406601064,-0.7661700433240353,10.303251411157657,9,7,10,above200,-0.05,2,ew,3
ml_filt_th_30_k2_ew_h3,0.34392822853170024,0.1194382410561079,22.448998747559234,0.8350463972013051,-0.6906744930515392,5,0.29866096818763593,0.20883212821677966,0.07135475099098709,0.7105579827880988,0.7984045642952372,0.424906827548008,-0.40173639002841044,-0.5696443567147684,15.060077084820133,10,8,10,trend_health,0.3,2,ew,3
ml_filt_th_50_k2_ew_h3,0.37188381507335855,0.1194382410561079,25.244557401725064,0.9186170460138103,-0.5442103663247921,5,0.34689480993427335,0.24141736486286214,0.04802306903276099,1.1708907717788173,0.9219260505908433,0.31411899236073354,-0.40237415153382355,-0.5442103663247921,19.883461259483873,10,8,10,trend_health,0.5,2,ew,3
ml_filt_no_freefall_50_k2_ew_h3,0.2839017179280001,0.1194382410561079,16.446347687189224,0.9676156462719965,-0.4958482540069528,5,0.21202612070591428,0.18746556631512978,0.059903720909456615,0.62850336894907,0.7361978839571642,0.3450712965342368,-0.37644970031558167,-0.49584825400695276,6.396592336647967,10,6,10,no_freefall,0.5,2,ew,3
ml_filt_no_freefall_30_k2_ew_h3,0.2999999228915029,0.1194382410561079,18.0561681835395,1.067046289380719,-0.516460189197835,5,0.24421232265064335,0.24747836490552277,0.1403542712509489,0.3808333519000444,0.8931679707071647,0.5575778240079015,-0.37329291730529857,-0.465791232683478,9.615212531120875,10,9,10,no_freefall,0.3,2,ew,3
ml_filt_near_high_50_k2_ew_h3,0.33578865002644487,0.1194382410561079,21.635040897033697,1.1562446928973897,-0.5891898315378722,5,0.3495791366762366,0.37122733059676916,0.06896929534094043,0.5427890894487422,1.1042813440502692,0.4952205272697142,-0.3363502010256848,-0.4364302510901909,20.151893933680192,10,9,10,near_high,0.5,2,ew,3
ml_filt_near_high_70_k2_ew_h3,0.27241179130966,0.1194382410561079,15.297355025355209,1.0371609020326766,-0.4452358711491565,5,0.2613398779227256,0.2945221748522545,0.11607074369929316,0.38227538593958754,0.9443896258809465,0.5248850741012238,-0.3185222677866506,-0.397886631118878,11.327968058329105,10,7,10,near_high,0.7,2,ew,3
ml_filt_rsi_ok_k2_ew_h3,0.35570225081612916,0.1194382410561079,23.626400976002127,0.8414171477370095,-0.6906744930515392,5,0.2847590647039217,0.23769471110723683,0.17114142199272853,0.6899045170392393,0.7901230231582349,0.5938596378385602,-0.41828826257218343,-0.5696443567147684,13.669886736448712,10,8,10,rsi_ok,25.0,2,ew,3
ml_filt_above200_0_k2_ew_h6,0.28860402339116686,0.1194382410561079,16.916578233505895,0.9859813416246618,-0.5016118641451219,4,0.3391758078139501,0.3387986027950639,0.10557750456387427,0.5306345552151257,1.091559364229589,0.4878553283065088,-0.33388589862668566,-0.4514527282997085,19.111561047451556,10,9,10,above200,0.0,2,ew,6
ml_filt_above200_-5_k2_ew_h6,0.28077301077343475,0.1194382410561079,16.133476971732684,0.9222117307830473,-0.723871223398062,4,0.30234049798191837,0.3067255228419037,0.08687371118623544,0.4798810133419451,1.0061274127000819,0.4215878316839581,-0.37888567179719723,-0.5778195315516238,15.428030064248375,10,8,10,above200,-0.05,2,ew,6
ml_filt_th_30_k2_ew_h6,0.371144490431945,0.1194382410561079,25.170624937583707,0.8296863821619326,-0.6906744930515393,4,0.4120244967679446,0.34791104966452646,0.2177121806723259,0.7681408819777151,0.9929965575457078,0.729323928035171,-0.37640460700574296,-0.5696443567147684,26.396429942850993,10,9,10,trend_health,0.3,2,ew,6
ml_filt_th_50_k2_ew_h6,0.35485000848626513,0.1194382410561079,23.541176743015725,0.8875904255808326,-0.6016721846873572,4,0.4259172399687289,0.3640951373527871,0.12607410691136756,0.7987497853385663,1.1204114944183758,0.5224981648731644,-0.42211480363124665,-0.5916796699213163,27.785704262929432,10,8,10,trend_health,0.5,2,ew,6
ml_filt_no_freefall_50_k2_ew_h6,0.3032211816622028,0.1194382410561079,18.37829406060949,0.9614702863161366,-0.5315024393917015,4,0.3317799684998414,0.3236326665825425,0.07613055025125681,0.5670186276575577,1.0167031906665143,0.39173402859864853,-0.37092593857687695,-0.5315024393917016,18.371977116040682,10,8,10,no_freefall,0.5,2,ew,6
ml_filt_no_freefall_30_k2_ew_h6,0.25927234536402155,0.1194382410561079,13.983410430791366,0.9024577644876709,-0.516460189197835,4,0.2831114421475462,0.25797042282813054,0.09812923947688024,0.5280506843660617,0.9371310824056843,0.5754487342145792,-0.3743192882108119,-0.4514527282997085,13.505124480811157,10,9,10,no_freefall,0.3,2,ew,6
ml_filt_near_high_50_k2_ew_h6,0.316168816543104,0.1194382410561079,19.673057548699614,1.0620138569928372,-0.49522586558364207,4,0.337134143381593,0.2962623177993776,0.09812923947688024,0.6121913882885979,1.0565360647421023,0.5754487342145792,-0.3274702983849414,-0.45145272829970856,18.907394604215845,10,9,10,near_high,0.5,2,ew,6
ml_filt_near_high_70_k2_ew_h6,0.26584041748422127,0.1194382410561079,14.640217642811336,0.9949568652545316,-0.5165789206728503,4,0.3080300872235076,0.2925118360804526,0.1472017915275039,0.4687800904339421,1.0701984651972833,0.6277197961211801,-0.3248309652360817,-0.4514527282997085,15.9969889884073,10,8,10,near_high,0.7,2,ew,6
ml_filt_rsi_ok_k2_ew_h6,0.35692489396791194,0.1194382410561079,23.748665291180405,0.8068841696016257,-0.6906744930515393,4,0.389507122607448,0.324919832270541,0.13300875094411868,0.7511455532530176,0.9337858305108666,0.5332347165734235,-0.3648872585765878,-0.5696443567147684,24.144692526801343,10,9,10,rsi_ok,25.0,2,ew,6
ml_filt_above200_0_k2_ew_h12,0.3306503084759227,0.1194382410561079,21.12120674198148,1.102739125255234,-0.5766912173179476,4,0.4247653550595327,0.4311407829011439,0.06729776582095726,0.7891671766394222,1.248192471589985,0.3606074062637801,-0.3073223524518535,-0.4692605153766343,27.67051577200981,10,10,10,above200,0.0,2,ew,12
ml_filt_above200_-5_k2_ew_h12,0.2797412364312324,0.1194382410561079,16.030299537512448,0.9226972426018735,-0.7607519556925333,4,0.3705047649486315,0.3845208012810526,-0.019678051763569515,0.7891671766394222,1.1122602296235733,0.20624408873231445,-0.35425816824495626,-0.6943120143204173,22.24445676091969,9,8,10,above200,-0.05,2,ew,12
ml_filt_th_30_k2_ew_h12,0.32638918796227423,0.1194382410561079,20.695094690616635,0.8579050832756571,-0.722453343206952,4,0.4033345074945072,0.4430519693869125,0.038493070787188666,0.7891671766394222,1.129483885000702,0.2827869082132126,-0.3355086262694865,-0.6453777555726443,25.52743101550726,10,9,10,trend_health,0.3,2,ew,12
ml_filt_th_50_k2_ew_h12,0.3121703942121017,0.1194382410561079,19.27321531559938,0.8739428379375653,-0.7209321599157696,4,0.3381786642422926,0.30726685516347385,0.09590005511974331,0.5424164510767719,1.042293743656536,0.5472413795926178,-0.40869946228811854,-0.6434341348526631,19.0118466902858,10,8,10,trend_health,0.5,2,ew,12
ml_filt_no_freefall_50_k2_ew_h12,0.3421068318939495,0.1194382410561079,22.266859083784162,1.1259815145147063,-0.5282070056760442,4,0.4302856551234228,0.41246229549513136,0.09590005511974331,0.7891671766394222,1.2609473185298776,0.5472413795926178,-0.32005361436506463,-0.5282070056760441,28.222545778398832,10,9,10,no_freefall,0.5,2,ew,12
