name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,spec_name,spec_strategy,spec_weights,spec_k_normal,spec_k_recovery,spec_k_bull,spec_weighting,spec_regime_gate,spec_hold_months,spec_cost_bps,spec_cash_yield_yr,spec_pullback_filter,spec_min_pick_mom,spec_quality_blend,spec_spy_dd_scale,spec_crash_persist,spec_monthly_exposure
banger_k2_ew_h6,0.13526069961134501,0.11544765623543318,1.9813043375911832,0.4682097160804968,-0.8483543833876998,3,0.10805102513175498,0.09697055638327068,-0.018155843839069652,0.2560353084720426,0.4076716701947527,0.09515673096666863,-0.4692176091156421,-0.8252061936924362,-4.000917220767965,8,4,10,banger_k2_ew_h6,banger,,2,2,2,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k2_ew_h12,0.20401587584783298,0.11544765623543318,8.85682196123998,0.5800288114981972,-0.7593748625364988,3,0.14206409116826793,0.09628656819526205,-0.023675435067381456,0.4138305441047061,0.4402675960175018,0.04148569174480805,-0.4386344679034873,-0.6463725995186473,-0.5996106171166666,9,3,10,banger_k2_ew_h12,banger,,2,2,2,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k2_invvol_h6,0.1740563362045513,0.11544765623543318,5.860867996911812,0.5466812023524251,-0.870486754800797,3,0.17097293223695692,0.17219704605398867,0.03803351365915342,0.32478138377283106,0.6005619002564059,0.2893664055009472,-0.4311795770627017,-0.8349305825140516,2.2912734897522298,10,6,10,banger_k2_invvol_h6,banger,,2,2,2,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k2_invvol_h12,0.2620070284477931,0.11544765623543318,14.655937221235993,0.7048095154492011,-0.739225442419274,3,0.21017753168419312,0.18870824846620837,0.07223558561280896,0.4237505667530588,0.6468162774404872,0.3553471156868113,-0.40582381634425724,-0.5864951540541748,6.211733434475855,10,6,10,banger_k2_invvol_h12,banger,,2,2,2,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k3_ew_h6,0.1370258241694846,0.11544765623543318,2.157816793405143,0.49656492703041144,-0.8963841260823722,3,0.14575849136228125,0.20346846222797133,-0.13271327758998552,0.25931962109546514,0.5768070232851004,0.25162651798749075,-0.42346371168360897,-0.8661743636836913,-0.23017059771533602,9,6,10,banger_k3_ew_h6,banger,,3,3,3,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k3_ew_h12,0.20652430311624648,0.11544765623543318,9.107664688081329,0.6361041441224315,-0.7998830289136851,3,0.16761948732151755,0.15804005332551296,0.0470104174815591,0.2867318344140859,0.6019267106729227,0.3037433455638491,-0.41202972972128504,-0.6941583186271413,1.9559289982082935,10,7,10,banger_k3_ew_h12,banger,,3,3,3,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k3_invvol_h6,0.1585241780310065,0.11544765623543318,4.307652179557331,0.5537816286978142,-0.9055540677359073,3,0.1840097903704131,0.1921857137561438,-0.20455318211449924,0.46240668968758003,0.7104087162267598,0.11254684922708726,-0.4097119873193879,-0.8772681222919853,3.5949593030978484,9,7,10,banger_k3_invvol_h6,banger,,3,3,3,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k3_invvol_h12,0.21438802147539815,0.11544765623543318,9.894036523996498,0.6806039093172155,-0.7882579689242595,3,0.16850931761008983,0.1707678277653314,0.08233520123768323,0.24825713459687893,0.6519973590395989,0.3790576390350305,-0.41013103031005993,-0.6770706210674781,2.0449120270655214,10,6,10,banger_k3_invvol_h12,banger,,3,3,3,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k5_ew_h6,0.16152027212363484,0.11544765623543318,4.607261588820166,0.5770631113778167,-0.8574081094033809,3,0.16882176786768646,0.20946399554583062,-0.06705815645894342,0.25193580775549296,0.6705170736116042,0.24005043137043128,-0.3938645586082379,-0.8162153952267586,2.0761570528251854,9,5,10,banger_k5_ew_h6,banger,,5,5,5,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
banger_k5_ew_h12,0.20627887549600676,0.11544765623543318,9.083121926057359,0.6778704889315269,-0.6944455260419354,3,0.13927372271516675,0.1505388376634922,0.021552120519829687,0.2826245563281542,0.5849824649193662,0.2192736234395474,-0.39459237119329094,-0.593196416738321,-0.8786474624267878,10,5,10,banger_k5_ew_h12,banger,,5,5,5,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
