split,from,to,n_months,cagr_pct,spy_cagr_pct,sharpe,max_dd_pct,edge_pp
A1,2011-01-01,2018-12-31,96,92.09261543692165,14.080900583561906,1.2643292111221471,-72.71447263050416,78.01171485335973
A2,2015-01-01,2021-12-31,84,95.33454967433106,14.712482626251333,1.1840381983237658,-72.71447263050416,80.62206704807973
A3,2018-01-01,2024-12-31,84,45.334395253393176,14.751627095452037,0.8268652233162028,-72.71447263050416,30.58276815794114
R1_GFC,2008-01-01,2010-12-31,36,48.172989399232115,0.047259599882343295,0.8410001577098611,-57.570199923021036,48.12572979934977
R2,2011-01-01,2013-12-31,36,50.25383693653791,15.626222022427317,0.9649277016696064,-54.88358959610722,34.627614914110595
R3,2014-01-01,2016-12-31,36,228.04468362015388,16.016169805583935,2.0026847637404437,-35.002829104554834,212.02851381456995
R4,2017-01-01,2019-12-31,36,69.83775682108468,13.04619006076968,1.1129216243461058,-72.71447263050416,56.791566760315
R5_COVID,2020-01-01,2022-12-31,36,6.237583368347299,5.631006725044485,0.4785332773173836,-61.68856603674565,0.6065766433028141
R6_AI,2023-01-01,2024-12-31,24,232.45290127080867,35.95093726573664,1.5577570839211414,-55.08636682110121,196.501964005072
STRICT,2021-01-01,2024-12-31,48,70.35553422009069,18.197401554724934,0.9763490991320184,-66.8211902427884,52.158132665365756
