year,ret_pct,spy_ret_pct,edge_pp,n_months
2003,14.662253840085103,9.794954900005216,4.867298940079888,4
2004,68.42711857948845,2.67071588504324,65.75640269444521,12
2005,42.25039937223318,6.636005871523576,35.61439350070961,12
2006,63.2232938181049,19.170814749076825,44.052479069028074,12
2007,27.660265090156177,-1.7193374914227122,29.37960258157889,12
2008,-33.49783768635166,-29.353184645368792,-4.144653040982867,12
2009,404.1783152630866,9.979872158878278,394.1984431042083,12
2010,64.48916250921528,28.887200952876,35.601961556339276,12
2011,15.092610985784205,8.578056398773516,6.514554587010689,12
2012,113.79689379552946,30.04415937584881,83.75273441968065,12
2013,134.64945781674328,9.48032857889638,125.1691292378469,12
2014,100.56950413414557,20.589780534692448,79.97972359945312,12
2015,17.04596259457498,10.800093916069242,6.2458686785057385,12
2016,78.20567375635366,16.870509407341782,61.335164349011876,12
2017,83.3141556200937,20.114238810573504,63.1999168095202,12
2018,-34.308863642819496,-1.057140678672086,-33.25172296414741,12
2019,20.070893567391046,21.55948183718508,-1.4885882697940325,12
2020,105.17977372770302,11.610987881121515,93.5687858465815,12
2021,453.86544270005624,25.185764111631627,428.6796785884246,12
2022,-12.54999070809567,-15.644702775268449,3.094712067172779,12
2023,84.23515701021435,22.232486036609856,62.002670973604495,12
2024,68.53460885529931,51.20904386986389,17.32556498543542,12
2025,4.816289589511702,16.01629026607252,-11.200000676560819,12
