name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,cfg_name,cfg_k_normal,cfg_k_bull,cfg_k_recovery,cfg_adaptive_k,cfg_weighting,cfg_hold_months,cfg_pick_replace_dd,cfg_pick_daily_stop,cfg_regime_gate,cfg_crash_persist,cfg_cost_bps,cfg_cash_yield_yr,cfg_filt_d_sma200_min,cfg_filt_pullback_min,cfg_filt_min_mom_12_1,cfg_gross_target,cfg_gross_in_recovery,cfg_gross_in_bull,cfg_gross_in_normal,cfg_n_sleeves,strategy
v8_baseline,0.3793863720931707,0.1194382410561079,25.99481310370628,0.9660380695799808,-0.4614804181665697,4,0.42220528553190795,0.3451190541482819,0.20733094921211692,1.0571712724986777,1.119726300470955,0.7989170519645878,-0.2948031699787806,-0.3974809974264691,27.414508819247327,10,9,10,v8_baseline,3,3,3,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_invvol_g1.0,0.33540829956816065,0.1194382410561079,21.597005851205274,0.8921712945785671,-0.7265608375329914,4,0.44700584159015744,0.4828632969286242,0.039757131730199236,0.7801043321032604,1.281580386005473,0.27906641358870554,-0.3190934162010266,-0.6461441709824104,29.894564425072282,10,9,10,v8_ml_k2_h12_invvol_g1.0,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_invvol_g1.25,0.3929714133708091,0.1194382410561079,27.353317231470122,0.8783049711974765,-0.8203191409032221,4,0.5452757459355038,0.5993745702686967,0.021895553145514723,0.9805805217918848,1.2642603071323646,0.26358867986508855,-0.38874592876255876,-0.7457841775738668,39.72155485960692,10,9,10,v8_ml_k2_h12_invvol_g1.25,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.25,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_invvol_g1.5,0.439387636380689,0.1194382410561079,31.994939532458112,0.8690613890565861,-0.8878066954273005,4,0.6384468332174568,0.7145800648382608,-0.003987275653311584,1.1780249463761057,1.252714709361842,0.2532733459889152,-0.45575486255196757,-0.8247492953217629,49.03866358780222,9,9,10,v8_ml_k2_h12_invvol_g1.5,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_invvol_g1.75,0.47206976805952694,0.1194382410561079,35.263152700341905,0.8624591423118292,-0.9345686978797767,4,0.7250796773917907,0.8269421232875052,-0.037704663191307275,1.367035110382965,1.2444684065504756,0.24590679735927146,-0.5178412099075556,-0.8858985697031004,57.7019480052356,9,9,10,v8_ml_k2_h12_invvol_g1.75,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.75,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_invvol_g2.0,0.48728603797831815,0.1194382410561079,36.78477969222102,0.8575076284767443,-0.9654714654621346,4,0.8035583913284532,0.934754534338347,-0.07902549954503535,1.5413729353700152,1.238283983039215,0.24038273249535302,-0.5749486253963056,-0.9319165780217799,65.54981939890185,9,9,10,v8_ml_k2_h12_invvol_g2.0,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.0_sl0.0,0.33540829956816065,0.1194382410561079,21.597005851205274,0.8921712945785671,-0.7265608375329914,4,0.44700584159015744,0.4828632969286242,0.039757131730199236,0.7801043321032604,1.281580386005473,0.27906641358870554,-0.3190934162010266,-0.6461441709824104,29.894564425072282,10,9,10,v8_ml_k2_h12_g1.0_sl0.0,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.0_sl0.2,0.252234513110386,0.1194382410561079,13.279627205427813,0.9455097584857503,-0.4376460684610488,4,0.37501735688637944,0.3917131765085824,-0.009856808405832918,0.7998965620294816,1.2087571332679892,0.13077031941815012,-0.23681590228053545,-0.43764606846104914,22.695715954694485,9,9,10,v8_ml_k2_h12_g1.0_sl0.2,2,2,2,False,invvol,12,0.0,0.2,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.0_sl0.3,0.26024660229880325,0.1194382410561079,14.080836124269535,0.9294852957025291,-0.544455377202843,4,0.3934622952064009,0.40555172141697016,0.059151162697833826,0.6974167837162093,1.2163987230636109,0.32994513989221125,-0.27890174367155296,-0.33414968467383854,24.540209786696632,10,9,10,v8_ml_k2_h12_g1.0_sl0.3,2,2,2,False,invvol,12,0.0,0.3,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.0_sl0.4,0.2356058461397914,0.1194382410561079,11.616760508368351,0.8320530712099984,-0.7398400610846676,4,0.3560702531105161,0.43253625399346474,-0.12670870506886722,0.6370940666774232,1.123649626317612,-0.10569705282952697,-0.3457776205995535,-0.559989065469208,20.80100557710815,9,8,10,v8_ml_k2_h12_g1.0_sl0.4,2,2,2,False,invvol,12,0.0,0.4,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.25_sl0.0,0.3929714133708091,0.1194382410561079,27.353317231470122,0.8783049711974765,-0.8203191409032221,4,0.5452757459355038,0.5993745702686967,0.021895553145514723,0.9805805217918848,1.2642603071323646,0.26358867986508855,-0.38874592876255876,-0.7457841775738668,39.72155485960692,10,9,10,v8_ml_k2_h12_g1.25_sl0.0,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.25,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.25_sl0.2,0.3002324325669856,0.1194382410561079,18.079419151087773,0.9249231226446653,-0.5368851919482636,4,0.46554071378730855,0.4854942730780908,-0.03571053814194003,1.0287747539875958,1.1887223393408992,0.11420010201012301,-0.29342854323855927,-0.5368851919482636,31.7480516447874,9,9,10,v8_ml_k2_h12_g1.25_sl0.2,2,2,2,False,invvol,12,0.0,0.2,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.25,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.25_sl0.3,0.30823271049230727,0.1194382410561079,18.87944694361994,0.9101224664723623,-0.6402738134148859,4,0.4857049023484297,0.4953569846324638,0.05132018683295736,0.8835286552983546,1.1977174022411952,0.3120318781885406,-0.3429350975667076,-0.4115416399717931,33.76447050089951,10,10,10,v8_ml_k2_h12_g1.25_sl0.3,2,2,2,False,invvol,12,0.0,0.3,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.25,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.25_sl0.4,0.27170763866268244,0.1194382410561079,15.226939760657455,0.8139554379048499,-0.831328184782353,4,0.43433229126746664,0.5227317072709804,-0.18985474332191377,0.8223173081961774,1.1056423903509143,-0.11945031902758133,-0.4235609817738042,-0.6601102737543457,28.627209392803206,9,8,10,v8_ml_k2_h12_g1.25_sl0.4,2,2,2,False,invvol,12,0.0,0.4,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.25,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.5_sl0.0,0.439387636380689,0.1194382410561079,31.994939532458112,0.8690613890565861,-0.8878066954273005,4,0.6384468332174568,0.7145800648382608,-0.003987275653311584,1.1780249463761057,1.252714709361842,0.2532733459889152,-0.45575486255196757,-0.8247492953217629,49.03866358780222,9,9,10,v8_ml_k2_h12_g1.5_sl0.0,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.5_sl0.2,0.34405702489045553,0.1194382410561079,22.461878383434765,0.9112010597134121,-0.6250245242933418,4,0.5569316815029323,0.5794350716064417,-0.06736381044223982,1.2706892565991112,1.1753676616186233,0.10315735452378112,-0.34680945298531424,-0.6250245242933421,40.887148416349774,9,9,10,v8_ml_k2_h12_g1.5_sl0.2,2,2,2,False,invvol,12,0.0,0.2,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.5_sl0.3,0.3508839974006579,0.1194382410561079,23.144575634455002,0.8972159687131412,-0.7201572540147533,4,0.5770155247242053,0.5807716742646208,0.03740088257519347,1.0744073721670255,1.1852647774342395,0.3000924329446851,-0.40382185551556893,-0.48458416057134235,42.89553273847706,10,10,10,v8_ml_k2_h12_g1.5_sl0.3,2,2,2,False,invvol,12,0.0,0.3,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,1,ml_3plus6
v8_ml_k2_h12_g1.5_sl0.4,0.2988639918534075,0.1194382410561079,17.942575079729963,0.8018921665785891,-0.8960555070118593,4,0.5085345149237005,0.6026614270075363,-0.2619734598498459,1.021917663363356,1.0936389416519767,-0.12861733987271062,-0.49587966468350997,-0.7455206162330396,36.04743175842659,9,8,10,v8_ml_k2_h12_g1.5_sl0.4,2,2,2,False,invvol,12,0.0,0.4,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,1,ml_3plus6
