split,from,to,n_months,cagr_pct,spy_cagr_pct,sharpe,max_dd_pct,edge_pp
A1,2011-01-01,2018-12-31,96,52.392731674472714,14.080900583561906,1.1621671268225102,-43.552621712153325,38.31183109091081
A2,2015-01-01,2021-12-31,84,65.68363506863368,14.712482626251333,1.2720625593422061,-44.880015212807855,50.97115244238235
A3,2018-01-01,2024-12-31,84,57.776945023577575,14.751627095452037,1.0693753629466778,-46.09342622765677,43.02531792812554
R1_GFC,2008-01-01,2010-12-31,36,76.67932833453861,0.047259599882343295,1.032756091236869,-54.76285726324055,76.63206873465627
R2,2011-01-01,2013-12-31,36,79.40014769920501,15.626222022427317,1.3509962725712679,-43.552621712153325,63.773925676777694
R3,2014-01-01,2016-12-31,36,61.131687420752435,16.016169805583935,1.4708819568697433,-19.267694208138337,45.1155176151685
R4,2017-01-01,2019-12-31,36,13.078535001942937,13.04619006076968,0.4985399339989574,-41.914416971699985,0.032344941173256814
R5_COVID,2020-01-01,2022-12-31,36,114.99724351908043,5.631006725044485,1.5740355079673345,-33.41646317805094,109.36623679403594
R6_AI,2023-01-01,2024-12-31,24,76.21010221922899,35.95093726573664,1.1778587094685034,-46.09342622765677,40.259164953492345
STRICT,2021-01-01,2024-12-31,48,96.92753004727153,18.197401554724934,1.4346664015945119,-46.09342622765678,78.7301284925466
