start,trough,end,depth_pct
2007-08-31,2009-01-30,2009-04-30,-58.35934056810983
2009-08-31,2009-10-30,2010-03-31,-54.76285726324055
2023-06-30,2023-09-29,2024-10-31,-46.09342622765678
2018-07-31,2020-02-28,2020-07-31,-44.88001521280787
2011-06-30,2012-04-30,2012-09-28,-43.552621712153325
2009-04-30,2009-05-29,2009-07-31,-34.416351537910586
2021-12-31,2022-08-31,2023-01-31,-33.41646317805094
2024-12-31,2025-02-28,2025-06-30,-27.575325971280208
