name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,cfg_name,cfg_k_normal,cfg_k_bull,cfg_k_recovery,cfg_adaptive_k,cfg_weighting,cfg_hold_months,cfg_pick_replace_dd,cfg_pick_daily_stop,cfg_regime_gate,cfg_crash_persist,cfg_cost_bps,cfg_cash_yield_yr,cfg_filt_d_sma200_min,cfg_filt_pullback_min,cfg_filt_min_mom_12_1,cfg_gross_target,cfg_gross_in_recovery,cfg_gross_in_bull,cfg_gross_in_normal,cfg_dd_full_floor,cfg_gross_floor,cfg_spy_trend_only_lever,cfg_n_sleeves
k2_h6_invvol_g1.5_dd0.0_to1_tight,0.4421530496833028,0.1194382410561079,32.27148086271949,0.8524215001645556,-0.6920339374475989,4,0.5186030300431689,0.4036819247446283,0.17562069347069165,1.0168716749720312,0.9752169595837004,0.5882195498747266,-0.48555752530617663,-0.6277326686225809,37.05428327037343,10,10,10,k2_h6_invvol_g1.5_dd0.0_to1_tight,2,2,2,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.0,0.0,True,1
k2_h6_invvol_g1.5_dd0.0_to1_strict_dd,0.25972902155105104,0.1194382410561079,14.029078049494315,0.6546926558802132,-0.7846917003502178,24,0.38145047111956565,0.2843059421335875,-0.14362424561183174,1.058876160459898,0.8695183592692036,0.12361311220098273,-0.4445589450617482,-0.727334604458997,23.339027378013107,9,8,10,k2_h6_invvol_g1.5_dd0.0_to1_strict_dd,2,2,2,False,invvol,6,0.0,0.0,strict_dd,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.0,0.0,True,1
k2_h6_invvol_g1.5_dd0.0_to1_combo,0.2635010042086974,0.1194382410561079,14.406276315258948,0.692374053049958,-0.6218215497844265,10,0.2867193132538428,0.2539178021508903,0.13534246381866533,0.5409149663057173,0.7657619252901989,0.5240731494910397,-0.46129826149588354,-0.5866117643323489,13.865911591440817,10,9,10,k2_h6_invvol_g1.5_dd0.0_to1_combo,2,2,2,False,invvol,6,0.0,0.0,combo,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.0,0.0,True,1
k2_h6_invvol_g1.5_dd0.05_to1_tight,0.15963990622027535,0.1194382410561079,4.0201665164167455,0.6751705674893865,-0.6142831769376581,4,0.17497744539606447,0.1997301085445896,-0.03383500197828326,0.3633630492536719,0.6944849761349385,0.04239610399733303,-0.37458092027737777,-0.6142831769376581,2.691724805662984,9,5,10,k2_h6_invvol_g1.5_dd0.05_to1_tight,2,2,2,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.05,0.0,True,1
k2_h6_invvol_g1.5_dd0.05_to1_strict_dd,0.16781120331980182,0.1194382410561079,4.837296226369392,0.730402971088826,-0.458781130415645,24,0.23947966530542572,0.16211798950229372,-0.062331567181205694,0.6943613607041434,0.8288706668081698,-0.1800247101167586,-0.2908418128781486,-0.4587811304156451,9.141946796599115,9,7,10,k2_h6_invvol_g1.5_dd0.05_to1_strict_dd,2,2,2,False,invvol,6,0.0,0.0,strict_dd,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.05,0.0,True,1
k2_h6_invvol_g1.5_dd0.05_to1_combo,0.12237127928726066,0.1194382410561079,0.29330382311527625,0.5981336141437134,-0.3026427742691008,10,0.1370115952074879,0.16069120481014265,-0.03564230104843635,0.23828916755065843,0.6235384850245145,0.00834100730818392,-0.24386990594170918,-0.30264277426910097,-1.1048602131946694,9,4,10,k2_h6_invvol_g1.5_dd0.05_to1_combo,2,2,2,False,invvol,6,0.0,0.0,combo,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.05,0.0,True,1
k2_h6_invvol_g1.5_dd0.08_to1_tight,0.20129866258823803,0.1194382410561079,8.186042153213013,0.7521372843854185,-0.6311550578110541,4,0.22005505163224073,0.20795145932684123,-0.005902811609971748,0.49375302231815854,0.7652200436228151,0.15760692909482443,-0.38561072550914194,-0.6311550578110541,7.199485429280614,9,5,10,k2_h6_invvol_g1.5_dd0.08_to1_tight,2,2,2,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.08,0.0,True,1
k2_h6_invvol_g1.5_dd0.08_to1_strict_dd,0.19920282186871252,0.1194382410561079,7.976458081260462,0.7739636829785684,-0.4780210590539419,24,0.274763757072335,0.1794525054361492,-0.07789039752364557,0.8021830519450348,0.8364352334577495,-0.23124363971764558,-0.3172764875382271,-0.4780210590539419,12.670355973290041,9,6,10,k2_h6_invvol_g1.5_dd0.08_to1_strict_dd,2,2,2,False,invvol,6,0.0,0.0,strict_dd,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.08,0.0,True,1
k2_h6_invvol_g1.5_dd0.08_to1_combo,0.1448179295135048,0.1194382410561079,2.537968845739691,0.6331442573518203,-0.3398962354233271,10,0.15739738662754152,0.1879002677594931,-0.009751808440913945,0.25627698057458814,0.6470304184054092,0.12784731450541198,-0.28740763630892996,-0.33989623542332714,0.9337189288106907,9,5,10,k2_h6_invvol_g1.5_dd0.08_to1_combo,2,2,2,False,invvol,6,0.0,0.0,combo,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.08,0.0,True,1
k2_h6_invvol_g1.5_dd0.12_to1_tight,0.25108828488209367,0.1194382410561079,13.165004382598578,0.8170594671518524,-0.5780571371268575,4,0.2871970495323263,0.2196318249963216,0.11952087091959296,0.6253460687068559,0.8662948778926032,0.4894302495964474,-0.38648528097240537,-0.5780571371268578,13.913685219289164,10,7,10,k2_h6_invvol_g1.5_dd0.12_to1_tight,2,2,2,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,0.12,0.0,True,1
