year,ret_pct,spy_ret_pct,edge_pp,n_months
2003,18.384321592861674,9.794954900005216,8.589366692856458,4
2004,60.07674790586919,2.67071588504324,57.40603202082595,12
2005,100.02027833463116,6.636005871523576,93.38427246310758,12
2006,54.69966776321933,19.170814749076825,35.528853014142506,12
2007,57.14272743106359,-1.7193374914227122,58.862064922486304,12
2008,-23.888782036036016,-29.353184645368792,5.464402609332776,12
2009,51.87719337663659,9.979872158878278,41.89732121775831,12
2010,181.4270860450949,28.887200952876,152.53988509221892,12
2011,-49.99923271393776,8.578056398773516,-58.57728911271127,12
2012,59.56894671295891,30.04415937584881,29.5247873371101,12
2013,325.1592831806213,9.48032857889638,315.6789546017249,12
2014,137.45531617132718,20.589780534692448,116.86553563663473,12
2015,117.18951948403284,10.800093916069242,106.3894255679636,12
2016,584.5075616032397,16.870509407341782,567.6370521958979,12
2017,374.04403308966215,20.114238810573504,353.92979427908864,12
2018,-67.34189744795762,-1.057140678672086,-66.28475676928554,12
2019,216.44125814174703,21.55948183718508,194.88177630456195,12
2020,57.35111214594832,11.610987881121515,45.740124264826804,12
2021,-5.318791460474637,25.185764111631627,-30.504555572106263,12
2022,-19.517596119969514,-15.644702775268449,-3.8728933447010654,12
2023,123.72371751760976,22.232486036609856,101.4912314809999,12
2024,394.0242044506454,51.20904386986389,342.81516058078154,12
2025,55.89823265299974,16.01629026607252,39.88194238692722,12
