start,trough,end,depth_pct
2007-08-31,2009-01-30,2009-04-30,-56.89464313518127
2009-08-31,2009-10-30,2010-02-26,-42.57732917260086
2011-06-30,2012-04-30,2012-09-28,-38.320009764243025
2023-06-30,2023-09-29,2024-09-30,-35.8963479278421
2018-07-31,2020-02-28,2020-06-30,-34.31888008257895
2021-12-31,2022-08-31,2023-01-31,-29.30353858022925
2009-04-30,2009-05-29,2009-07-31,-25.750606909125338
2010-03-31,2010-07-30,2010-11-30,-22.621727221426223
