split,from,to,n_months,cagr_pct,spy_cagr_pct,sharpe,max_dd_pct,edge_pp
A1,2011-01-01,2018-12-31,96,22.655885962596223,14.080900583561906,0.8975813024388425,-35.390577141144476,8.574985379034317
A2,2015-01-01,2021-12-31,84,35.136928141025024,14.712482626251333,0.8856261378151341,-35.39057714114449,20.42444551477369
A3,2018-01-01,2024-12-31,84,38.703388732003276,14.751627095452037,0.8948093577084278,-35.390577141144476,23.95176163655124
R1_GFC,2008-01-01,2010-12-31,36,108.41328353306996,0.047259599882343295,1.2474988009286554,-47.517595990894065,108.36602393318762
R2,2011-01-01,2013-12-31,36,42.85745888809114,15.626222022427317,1.373349174001414,-21.27809718450467,27.23123686566382
R3,2014-01-01,2016-12-31,36,14.263851968653585,16.016169805583935,0.7206919267594886,-15.055373476319772,-1.7523178369303505
R4,2017-01-01,2019-12-31,36,19.414825392772215,13.04619006076968,0.7563572621758639,-35.39057714114448,6.368635332002535
R5_COVID,2020-01-01,2022-12-31,36,61.88508442788843,5.631006725044485,1.021724306484544,-30.051717980869487,56.254077702843944
R6_AI,2023-01-01,2024-12-31,24,40.57218710853003,35.95093726573664,1.3448805242421311,-12.565318584132127,4.6212498427933895
STRICT,2021-01-01,2024-12-31,48,41.48178835021727,18.197401554724934,1.115684212788649,-30.05171798086949,23.28438679549234
