name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,cfg_name,cfg_k_normal,cfg_k_bull,cfg_k_recovery,cfg_adaptive_k,cfg_weighting,cfg_hold_months,cfg_pick_replace_dd,cfg_pick_daily_stop,cfg_regime_gate,cfg_crash_persist,cfg_cost_bps,cfg_cash_yield_yr,cfg_filt_d_sma200_min,cfg_filt_pullback_min,cfg_filt_min_mom_12_1,cfg_gross_target,cfg_gross_in_recovery,cfg_gross_in_bull,cfg_gross_in_normal,cfg_dd_full_floor,cfg_gross_floor,cfg_spy_trend_only_lever,cfg_n_sleeves
k2_h6_invvol_g1.0_dd0.0_to0,0.3470033259930825,0.1194382410561079,22.75650849369746,0.8144603551875143,-0.6846911017457192,4,0.4136928243854873,0.32693833132335615,0.1900374980998556,0.706780501271753,1.0254699003201826,0.6623181891125957,-0.36956838510093365,-0.5515270830971581,26.56326270460528,10,9,10,k2_h6_invvol_g1.0_dd0.0_to0,2,2,2,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h6_conv_g1.0_dd0.0_to0,0.2664821036030476,0.1194382410561079,14.704386254693969,0.599873119843762,-0.8041949225946591,4,0.19658218520009457,0.12777134478187324,-0.08911344323333126,0.5455607823034418,0.4429227679354787,-0.02998212368369362,-0.5333519949749019,-0.6679345693448133,4.852198786065996,8,4,10,k2_h6_conv_g1.0_dd0.0_to0,2,2,2,False,conv,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h9_ew_g1.0_dd0.0_to0,0.27479637304834226,0.1194382410561079,15.535813199223437,0.6920172281697451,-0.8586855610752411,1,0.2919514381063533,0.28338609599701925,0.0007232032235517938,0.7341031207319375,0.722122059902109,0.15981243870540418,-0.4330909633134067,-0.8118393547591919,14.389124076691868,10,7,10,k2_h9_ew_g1.0_dd0.0_to0,2,2,2,False,ew,9,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h9_invvol_g1.0_dd0.0_to0,0.29878186687940933,0.1194382410561079,17.934362582330145,0.7448040859643164,-0.8552070964162132,1,0.34541793279255656,0.3146071082176717,-0.005191598140812492,0.6986857539551123,0.8553482728128324,0.13400138472063275,-0.41064951893782,-0.7984007198872872,19.7357735453122,9,8,10,k2_h9_invvol_g1.0_dd0.0_to0,2,2,2,False,invvol,9,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h9_conv_g1.0_dd0.0_to0,0.17335038532954217,0.1194382410561079,5.391214427343427,0.5122865258565823,-0.8705681157921142,1,0.1886286350285678,0.07947437023602666,-0.0831295964729265,0.9669288608254578,0.4715565388545163,0.04784361934070217,-0.6187185824639087,-0.8705681157921143,4.056843768913319,6,4,10,k2_h9_conv_g1.0_dd0.0_to0,2,2,2,False,conv,9,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h12_ew_g1.0_dd0.0_to0,0.3253882573601947,0.1194382410561079,20.59500163040868,0.856763277361064,-0.7230540693988992,4,0.403184062431141,0.4418187366346903,0.037567423416529966,0.787543165498239,1.1327794838365521,0.2805740130250069,-0.3356191122524031,-0.6457788686666109,25.512386509170646,10,8,10,k2_h12_ew_g1.0_dd0.0_to0,2,2,2,False,ew,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h12_invvol_g1.0_dd0.0_to0,0.33540829956816065,0.1194382410561079,21.597005851205274,0.8921712945785671,-0.7265608375329914,4,0.44700584159015744,0.4828632969286242,0.039757131730199236,0.7801043321032604,1.281580386005473,0.27906641358870554,-0.3190934162010266,-0.6461441709824104,29.894564425072282,10,9,10,k2_h12_invvol_g1.0_dd0.0_to0,2,2,2,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k2_h12_conv_g1.0_dd0.0_to0,0.19242077200319363,0.1194382410561079,7.298253094708573,0.5911707395075309,-0.8641219908997787,4,0.1790251968212796,0.15991819750982827,-0.10861070221625968,0.5217573603566199,0.5786085567636406,-0.04339701654748472,-0.5696818958174571,-0.798937091680773,3.096499948184499,7,5,10,k2_h12_conv_g1.0_dd0.0_to0,2,2,2,False,conv,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h3_ew_g1.0_dd0.0_to0,0.30069761870123113,0.1194382410561079,18.125937764512322,0.8211111553278232,-0.5685397130737432,5,0.2672036870236263,0.1769537355998605,0.13758906140257654,0.9532274743220266,0.7504421151447047,0.5246549003512017,-0.36642693496124906,-0.46958391636738217,11.914348968419173,10,7,10,k3_h3_ew_g1.0_dd0.0_to0,3,3,3,False,ew,3,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h3_invvol_g1.0_dd0.0_to0,0.2961281041279231,0.1194382410561079,17.668986307181523,0.8568152583123588,-0.5157818021869781,5,0.2821801453718977,0.2348918032615538,0.10615709580026444,0.9130089997724544,0.8440433183189265,0.43438299189829976,-0.34483893180332126,-0.48767917135040656,13.411994803246307,10,8,10,k3_h3_invvol_g1.0_dd0.0_to0,3,3,3,False,invvol,3,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
