split,from,to,n_months,cagr_pct,spy_cagr_pct,sharpe,max_dd_pct,edge_pp
A1,2011-01-01,2018-12-31,96,76.39512895990062,14.080900583561906,1.1602650063244353,-53.986992938088974,62.31422837633871
A2,2015-01-01,2021-12-31,84,90.92002897379203,14.712482626251333,1.2312303124597208,-64.24210543019213,76.2075463475407
A3,2018-01-01,2024-12-31,84,72.01587383979073,14.751627095452037,1.0336041485517975,-64.50506236667592,57.26424674433869
R1_GFC,2008-01-01,2010-12-31,36,71.61008140347813,0.047259599882343295,1.0185608213861939,-75.87660989261919,71.5628218035958
R2,2011-01-01,2013-12-31,36,130.93468712353626,15.626222022427317,1.4143670667526949,-53.986992938088974,115.30846510110895
R3,2014-01-01,2016-12-31,36,86.03456317043413,16.016169805583935,1.3794081860673006,-28.250532612216784,70.0183933648502
R4,2017-01-01,2019-12-31,36,7.843165637382343,13.04619006076968,0.4157501028112346,-64.24210543019213,-5.203024423387337
R5_COVID,2020-01-01,2022-12-31,36,180.9001799172227,5.631006725044485,1.605381526985871,-41.27343852459025,175.26917319217822
R6_AI,2023-01-01,2024-12-31,24,92.93628246366008,35.95093726573664,1.1285294301497184,-64.5050623666759,56.985345197923436
STRICT,2021-01-01,2024-12-31,48,135.6618941760289,18.197401554724934,1.4015157320271805,-64.50506236667592,117.46449262130398
