split,from,to,n_months,cagr_pct,spy_cagr_pct,sharpe,max_dd_pct,edge_pp
A1,2011-01-01,2018-12-31,96,39.765359851819106,14.080900583561906,1.1603110192694146,-38.320009764243004,25.6844592682572
A2,2015-01-01,2021-12-31,84,51.938812705367376,14.712482626251333,1.2993204963344482,-34.31888008257892,37.22633007911604
A3,2018-01-01,2024-12-31,84,47.7701712145014,14.751627095452037,1.0894093825793498,-35.8963479278421,33.018544119049366
R1_GFC,2008-01-01,2010-12-31,36,69.83235652099616,0.047259599882343295,1.0172427352637283,-47.42550052761968,69.78509692111382
R2,2011-01-01,2013-12-31,36,55.487599826319524,15.626222022427317,1.2858646756333194,-38.320009764243004,39.86137780389221
R3,2014-01-01,2016-12-31,36,48.52389882108192,16.016169805583935,1.5544160559787805,-14.524903341148038,32.507729015497986
R4,2017-01-01,2019-12-31,36,14.178427172176633,13.04619006076968,0.5708097978284784,-30.87938155480689,1.132237111406953
R5_COVID,2020-01-01,2022-12-31,36,84.63318257511683,5.631006725044485,1.5185286692272564,-29.303538580229272,79.00217585007235
R6_AI,2023-01-01,2024-12-31,24,62.564331707090524,35.95093726573664,1.2229114179965193,-35.8963479278421,26.613394441353883
STRICT,2021-01-01,2024-12-31,48,75.5047349089921,18.197401554724934,1.4493321390584781,-35.8963479278421,57.30733335426717
