universe,policy,issued,matured,wins,pending,unknown,precision,random_expected,peer_expected,nonoverlap_n
sp500,recent@0.7,62,62,25,0,0,0.403226,0.341244,0.386902,9
sp500,recent@0.8,5,5,2,0,0,0.400000,0.148958,0.345142,1
sp500,recent@0.85,0,0,0,0,0,,,,0
sp500,recent@0.9,0,0,0,0,0,,,,0
sp500,recent@0.95,0,0,0,0,0,,,,0
sp500,recent@0.975,0,0,0,0,0,,,,0
sp500,residual_cdf@0.6,407,341,145,66,4,0.425220,0.333948,0.365499,15
sp500,residual_cdf@0.7,230,208,83,22,3,0.399038,0.321998,0.350872,12
sp500,residual_cdf@0.8,109,107,42,2,0,0,0.392523,0.318505,0.343020,11
sp500,residual_cdf@0.85,69,69,27,0,0,0.391304,0.311580,0.319002,7
sp500,residual_cdf@0.9,21,21,8,0,0,0.380952,0.295581,0.325469,5
sp500,residual_cdf@0.95,6,6,2,0,0,0.333333,0.369847,0.310386,1
sp500,residual_cdf@0.975,0,0,0,0,0,,,,0
sp500,squeeze_veto@0.6,42,42,18,0,0,0.428571,0.440247,0.448598,6
sp500,squeeze_veto@0.7,7,7,2,0,0,0.285714,0.461828,0.511053,2
sp500,squeeze_veto@0.8,0,0,0,0,0,,,,0
sp500,squeeze_veto@0.85,0,0,0,0,0,,,,0
sp500,squeeze_veto@0.9,0,0,0,0,0,,,,0
sp500,squeeze_veto@0.95,0,0,0,0,0,,,,0
sp500,squeeze_veto@0.975,0,0,0,0,0,,,,0
ndx,adaptive95,0,0,0,0,0,,,,0
ndx,competing@0.6,117,102,41,15,0,0.401961,0.390406,0.380556,12
ndx,competing@0.7,69,69,22,0,0,0.318841,0.345155,0.316281,8
ndx,competing@0.8,26,26,8,0,0,0.307692,0.326957,0.381181,3
ndx,competing@0.85,5,5,0,0,0,0.000000,0.331959,0.220556,2
ndx,competing@0.9,0,0,0,0,0,,,,0
ndx,competing@0.95,0,0,0,0,0,,,,0
ndx,competing@0.975,0,0,0,0,0,,,,0
