universe,n_months,CAGR_pct,Sharpe,MaxDD_pct,win_rate_months_pct,n_positive_years,n_total_years,worst_year_pct,best_year_pct,Final_equity
v2_baseline_full_us,256,80.79,1.469,-45.02,67.6,20,22,-31.7,874.1,306452.81
intl,264,23.24,1.104,-35.0,64.02,17,22,-23.0,147.6,99.29
russell1000_proxy,264,19.74,0.767,-44.17,59.09,17,22,-32.2,278.8,52.59
sp500_pit,237,15.46,0.659,-53.47,59.49,15,20,-47.1,187.8,17.11
etf,258,9.78,0.73,-37.7,61.24,17,22,-22.0,34.5,7.43
