id	timestamp	sharpe	cagr	max_dd	n_trades	win_rate	profit_factor	status	description	cfg_mtmdi_zscore_entry	cfg_cacs_entry_threshold	cfg_mpr_threshold	cfg_mtmdi_zscore_exit	cfg_max_hold_days	cfg_stop_loss	cfg_take_profit	cfg_max_position_pct	cfg_max_total_exposure	cfg_vol_target	cfg_high_vol_reduction	cfg_low_vol_boost	cfg_transaction_cost_bps
exp_001	2026-03-23T18:47:06.693235	0	0.0	0.0	0	0	0	discard	MTMDI entry=1.28, exit=0.33	1.281527251255361	0.02	0.5	0.33282863668777585	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_002	2026-03-23T18:47:21.120990	0	0.0	0.0	0	0	0	discard	Cascade threshold=0.013	1.5	0.012599459832442357	0.5	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_003	2026-03-23T18:47:34.511066	0	0.0	0.0	0	0	0	discard	MPR threshold=1.39	1.5	0.02	1.385457353193366	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_004	2026-03-23T18:47:46.857035	0	0.0	0.0	0	0	0	discard	SL=-0.15, TP=0.30, MaxHold=126	1.5	0.02	0.5	0.5	126	-0.14997605791547955	0.29954119569162296	0.05	0.8	0.15	0.5	1.0	10
exp_005	2026-03-23T18:47:59.549855	0	0.0	0.0	0	0	0	discard	MaxPos=0.09, MaxExp=0.89, VolTgt=0.13	1.5	0.02	0.5	0.5	63	-0.08	0.2	0.09259307160287707	0.8883804952909862	0.12723329758905924	0.5	1.0	10
exp_006	2026-03-23T18:48:12.247020	0	0.0	0.0	0	0	0	discard	Conservative combined	2.1754993378718996	0.03814655110234767	0.8484878359489886	0.5	63	-0.05877057313896982	0.2	0.03	0.6	0.15	0.5	1.0	10
exp_007	2026-03-23T18:48:24.816930	0	0.0	0.0	0	0	0	discard	Aggressive combined	1.3296127371809683	0.010251308926698788	-0.34589666131303065	0.5	63	-0.08002535693929586	0.2266086885417392	0.08	0.9	0.15	0.5	1.0	10
exp_008	2026-03-23T18:48:37.405440	0	0.0	0.0	0	0	0	discard	Wide exploration	1.3967927958326003	0.03884123589459187	0.3391963183821387	0.7557353217263975	42	-0.035298967529253183	0.3716334124816452	0.06810586690294117	0.8	0.12097932798979788	0.5	1.0	10
exp_009	2026-03-23T18:48:50.028978	0	0.0	0.0	0	0	0	discard	MTMDI entry=1.46, exit=0.22	1.4568694824604176	0.02	0.5	0.22009376241868248	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_010	2026-03-23T18:49:02.550185	0	0.0	0.0	0	0	0	discard	Cascade threshold=0.044	1.5	0.04431145189873962	0.5	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_011	2026-03-23T18:49:14.996062	0	0.0	0.0	0	0	0	discard	MPR threshold=0.97	1.5	0.02	0.968013174726827	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_012	2026-03-23T18:49:27.511628	0	0.0	0.0	0	0	0	discard	SL=-0.05, TP=0.13, MaxHold=126	1.5	0.02	0.5	0.5	126	-0.047032318096707465	0.13443920336443213	0.05	0.8	0.15	0.5	1.0	10
exp_013	2026-03-23T18:49:40.953567	0	0.0	0.0	0	0	0	discard	MaxPos=0.09, MaxExp=0.72, VolTgt=0.14	1.5	0.02	0.5	0.5	63	-0.08	0.2	0.0923427474485941	0.7224976228376533	0.14069930802215272	0.5	1.0	10
exp_014	2026-03-23T18:49:54.437283	0	0.0	0.0	0	0	0	discard	Conservative combined	2.3756943347456	0.02466492840602415	1.4669532000287058	0.5	63	-0.05643052386722336	0.2	0.03	0.6	0.15	0.5	1.0	10
exp_015	2026-03-23T18:50:07.448954	0	0.0	0.0	0	0	0	discard	Aggressive combined	1.0288582380323394	0.012584061358914671	-0.30049598549405165	0.5	63	-0.10819893208104184	0.28638014017460145	0.08	0.9	0.15	0.5	1.0	10
exp_016	2026-03-23T18:50:21.055049	0	0.0	0.0	0	0	0	discard	Wide exploration	1.2122437692069967	0.03212002860525934	-0.1545566029798554	0.7393072493795307	63	-0.10213570740129742	0.37821604291634714	0.08766378779167824	0.8	0.19756143014107935	0.5	1.0	10
exp_017	2026-03-23T18:50:34.702985	0	0.0	0.0	0	0	0	discard	MTMDI entry=1.66, exit=0.67	1.6627476241395265	0.02	0.5	0.6740496361209105	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_018	2026-03-23T18:50:48.614652	0	0.0	0.0	0	0	0	discard	Cascade threshold=0.037	1.5	0.03680591769427159	0.5	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_019	2026-03-23T18:51:02.375183	0	0.0	0.0	0	0	0	discard	MPR threshold=1.07	1.5	0.02	1.0726564116005628	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_020	2026-03-23T18:51:15.883868	0	0.0	0.0	0	0	0	discard	SL=-0.08, TP=0.35, MaxHold=42	1.5	0.02	0.5	0.5	42	-0.08112135182434074	0.3540743823750816	0.05	0.8	0.15	0.5	1.0	10
exp_021	2026-03-23T18:51:29.365333	0	0.0	0.0	0	0	0	discard	MaxPos=0.09, MaxExp=0.88, VolTgt=0.22	1.5	0.02	0.5	0.5	63	-0.08	0.2	0.08604892687174405	0.8842477371293724	0.22462567051309526	0.5	1.0	10
exp_022	2026-03-23T18:51:43.351016	0	0.0	0.0	0	0	0	discard	Conservative combined	2.4105189478039613	0.033658510248709556	0.7199094989211489	0.5	63	-0.05076172263626806	0.2	0.03	0.6	0.15	0.5	1.0	10
exp_023	2026-03-23T18:51:56.716622	0	0.0	0.0	0	0	0	discard	Aggressive combined	1.2785469894430563	0.007868087832155484	0.26218162148020185	0.5	63	-0.10910261007071048	0.27326562327332704	0.08	0.9	0.15	0.5	1.0	10
exp_024	2026-03-23T18:52:09.793913	0	0.0	0.0	0	0	0	discard	Wide exploration	2.467034643410849	0.04694966501932677	-0.5174198708978617	0.5079215497360022	252	-0.11555685555914919	0.1699134754120714	0.049304495519972555	0.8	0.18540751232165453	0.5	1.0	10
exp_001	2026-03-23T18:56:02.319264	2.42170124391992	0.2588827934641058	-0.07489565057204314	1805	0.5318559556786704	1.4349764835341352	keep	MTMDI entry=1.78, exit=0.22	1.7831097392498858	0.02	0.5	0.22238638778957717	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_002	2026-03-23T18:57:19.526849	2.7781759389370455	0.32119137145049326	-0.07895864101857313	2939	0.5301122830894862	1.300022127252763	keep	Cascade threshold=0.015	1.5	0.015379537135464923	0.5	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_003	2026-03-23T18:58:38.271718	2.7767411348857496	0.3314460165647033	-0.07862636883704058	3170	0.5264984227129338	1.282820951236943	discard	MPR threshold=-0.38	1.5	0.02	-0.37867884022979315	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_004	2026-03-23T18:59:57.561122	2.6236064027224346	0.30571871132318407	-0.07934233296591023	2833	0.5262972114366397	1.2944842034155366	discard	SL=-0.13, TP=0.24, MaxHold=126	1.5	0.02	0.5	0.5	126	-0.12964356622759338	0.24240470337746636	0.05	0.8	0.15	0.5	1.0	10
exp_005	2026-03-23T19:01:16.696485	2.8450596948342306	0.33472164783918257	-0.07888810776780976	2554	0.5277995301487862	1.276826840220812	keep	MaxPos=0.06, MaxExp=0.76, VolTgt=0.13	1.5	0.02	0.5	0.5	63	-0.08	0.2	0.059824141344829565	0.7574818732789914	0.13224034610237917	0.5	1.0	10
exp_006	2026-03-23T19:02:35.226005	2.090807575857582	0.12187144147070339	-0.03224713555771216	1348	0.4807121661721068	1.1755989299265897	discard	Conservative combined	2.062921649443228	0.029278391238976277	1.2236890933517144	0.5	63	-0.04419238323755495	0.2	0.03	0.6	0.15	0.5	1.0	10
exp_007	2026-03-23T19:03:55.017868	2.790998115022098	0.4490261497757426	-0.1107966189027434	3055	0.5207855973813421	1.2795711263993483	discard	Aggressive combined	1.1848930901589267	0.01593235242868978	-0.04712323784418859	0.5	63	-0.08907823674569007	0.21350200426793095	0.08	0.9	0.15	0.5	1.0	10
exp_008	2026-03-23T19:05:12.861156	2.2502379459181	0.22911787722390486	-0.06910073050026051	2111	0.4945523448602558	1.1727122883747199	discard	Wide exploration	1.2964578680673686	0.04301043681264027	1.507051313377814	0.7263588276300877	126	-0.04051511294320348	0.2113560669897705	0.06656429974289098	0.8	0.15383554761448448	0.5	1.0	10
exp_009	2026-03-23T19:06:31.194281	2.3443929116452398	0.21165720119821652	-0.05780678673452507	1515	0.499009900990099	1.2440582416564112	discard	MTMDI entry=2.02, exit=0.44	2.01984036216453	0.02	0.5	0.4368189713089925	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_010	2026-03-23T19:07:50.801087	2.8455319528755867	0.3270914824354654	-0.07515061454141019	2885	0.5254766031195841	1.294374658246454	keep	Cascade threshold=0.021	1.5	0.02146523355648352	0.5	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_011	2026-03-23T19:09:11.416135	2.7847017694667784	0.33224385836622283	-0.07862636883704026	3166	0.525584333543904	1.284386016666811	discard	MPR threshold=-0.35	1.5	0.02	-0.34809160782008775	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_012	2026-03-23T19:10:32.532922	3.0723283173654887	0.3485466849305814	-0.07416689464740416	3093	0.5260265114775299	1.2835223109010894	keep	SL=-0.07, TP=0.39, MaxHold=21	1.5	0.02	0.5	0.5	21	-0.06644242110596207	0.3870680292707883	0.05	0.8	0.15	0.5	1.0	10
exp_013	2026-03-23T19:11:54.382721	2.741130340247498	0.22192570367504172	-0.05263596329347134	3204	0.519350811485643	1.276366327186406	discard	MaxPos=0.03, MaxExp=0.60, VolTgt=0.18	1.5	0.02	0.5	0.5	63	-0.08	0.2	0.03244154247447051	0.5992832658878368	0.1777068356133743	0.5	1.0	10
exp_014	2026-03-23T19:13:12.363509	2.7758109225661154	0.17425855961482828	-0.032868386512839784	2031	0.49433776464795665	1.2090320062071254	discard	Conservative combined	1.7900702767489645	0.036564679641909514	0.9143018952236233	0.5	63	-0.04124373697651489	0.2	0.03	0.6	0.15	0.5	1.0	10
exp_015	2026-03-23T19:14:31.667137	2.9416892844246214	0.4925392251058367	-0.10497356737917656	3420	0.519298245614035	1.2873970515046882	discard	Aggressive combined	0.9332330866461646	0.009043171955672894	0.044826343688165626	0.5	63	-0.0857555623258846	0.2540301385332038	0.08	0.9	0.15	0.5	1.0	10
exp_016	2026-03-23T19:15:57.525141	0.7789430010049226	0.05072374920776901	-0.05026898104749336	661	0.49319213313161875	1.040327310644612	discard	Wide exploration	2.9622826329343868	0.02294299685504465	-0.4256156714221846	0.48475282691245614	10	-0.16736438819739924	0.3386331381372729	0.028550550179118804	0.8	0.17685916909183874	0.5	1.0	10
exp_017	2026-03-23T19:17:22.469933	2.0246011569106988	0.15282025442299485	-0.04758727323922648	958	0.4488517745302714	1.0405368093392988	discard	MTMDI entry=2.43, exit=0.75	2.4255661149632055	0.02	0.5	0.7496701248264928	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_018	2026-03-23T19:18:53.129839	2.896511864710596	0.3305671928619367	-0.07274353140201448	2843	0.5205768554344002	1.2865370945026384	discard	Cascade threshold=0.027	1.5	0.02680655807586758	0.5	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_019	2026-03-23T19:20:23.847809	2.8533010505193346	0.3405074990744048	-0.0786263688370406	3115	0.5242375601926164	1.2952048778662602	discard	MPR threshold=0.09	1.5	0.02	0.08705527032569393	0.5	63	-0.08	0.2	0.05	0.8	0.15	0.5	1.0	10
exp_020	2026-03-23T19:21:51.288118	2.620937203419199	0.30512703088386095	-0.07934233296590965	2841	0.5269271383315733	1.2873582942760304	discard	SL=-0.13, TP=0.35, MaxHold=42	1.5	0.02	0.5	0.5	42	-0.12916590762015137	0.3514655658882979	0.05	0.8	0.15	0.5	1.0	10
exp_021	2026-03-23T19:23:15.150030	2.817602639411548	0.3829941829005572	-0.09752095212759505	2215	0.5291196388261851	1.2630005366377848	discard	MaxPos=0.08, MaxExp=0.82, VolTgt=0.12	1.5	0.02	0.5	0.5	63	-0.08	0.2	0.08221224638543155	0.8207720851898841	0.11562843527570169	0.5	1.0	10
exp_022	2026-03-23T19:24:37.787303	1.6140851881310572	0.0866346046045996	-0.03691572702040529	841	0.4518430439952438	1.1265287101852848	discard	Conservative combined	2.480816511330136	0.03981977244598997	1.200359627366109	0.5	63	-0.05348518717908982	0.2	0.03	0.6	0.15	0.5	1.0	10
exp_023	2026-03-23T19:26:02.840452	2.762773703394459	0.4516894991352538	-0.1092980072730939	3158	0.5199493350221659	1.2926301766235109	discard	Aggressive combined	1.088220459028515	0.014825531464358922	-0.20776792037228808	0.5	63	-0.10079847963539056	0.3106401138609626	0.08	0.9	0.15	0.5	1.0	10
exp_024	2026-03-23T19:27:23.081508	1.5934319051534307	0.13350430268142155	-0.05634349418273509	648	0.529320987654321	1.1022497424625535	discard	Wide exploration	2.7491424952559287	0.01062176455117265	-0.14631406962981064	0.1300267942105591	10	-0.09281695527962505	0.20703851439578708	0.07328709507159138	0.8	0.1770146604822086	0.5	1.0	10
