year,n_months,strat_ret,qqq_ret,edge_pp
2015,12,0.3206419384105752,0.11763169905779969,20.301023935277552
2016,12,0.9790785543862552,0.1504824404485845,82.85961139376707
2017,12,0.33116039845629297,0.261779028306496,6.938137014979695
2018,12,-0.07268478671743217,-0.0816801307882602,0.8995344070828026
2019,12,0.7042670080588826,0.2747503179023525,42.95166901565302
2020,12,0.8613904439579367,0.44029813044739297,42.109231351054376
2021,12,0.18572845355753653,0.2708757837265161,-8.514733016897956
2022,12,-0.05425771806952184,-0.26114222675619025,20.68845086866684
2023,12,0.37500260403575525,0.39959772721153697,-2.459512317578172
2024,12,0.05593240603297489,0.2333455582722086,-17.741315223923372
2025,12,-0.025233893125061413,0.1821508763012747,-20.73847694263361
2026,5,-0.08580848662884144,0.14513771625019034,-23.09462028790318
