date,regime,equity,ret_m,cash,picks
2015-01-31,bull,0.999,0.0,False,"AAL,AMAT,AVGO"
2015-02-28,recovery,0.9979912669009549,-0.001009742841887088,False,"AAL,AMAT,AVGO"
2015-03-31,normal,0.9032489976352465,-0.09493296425319425,False,"AAL,AMAT,AVGO"
2015-04-30,recovery,0.976845273272397,0.08147949882018089,False,"AAL,AMAT,AVGO"
2015-06-30,normal,0.9234695791258113,-0.054640888999522935,False,"AAL,AMAT,AVGO"
2015-07-31,recovery,0.8987620677783527,-0.02675508961632244,False,"AAL,AMAT,AVGO"
2015-08-31,normal,0.8701437958925111,-0.03184187774700254,False,"AAL,AMAT,AVGO"
2015-09-30,normal,0.9491847116231374,0.09192854210383543,False,"NFLX,TSLA,LBTYK"
2015-11-30,normal,0.9485397504774993,-0.0006794896059116947,False,"NFLX,TSLA,LBTYK"
2015-12-31,normal,0.7646149997726398,-0.19390305004325958,False,"NFLX,TSLA,LBTYK"
2016-02-29,normal,0.8523745550549953,0.11477613610568851,False,"NFLX,TSLA,LBTYK"
2016-03-31,recovery,0.8385584892152965,-0.01620891397773753,False,"NFLX,TSLA,LBTYK"
2016-05-31,recovery,0.7745879068818106,-0.07628636899657192,False,"NFLX,TSLA,LBTYK"
2016-06-30,normal,0.8312977980060976,0.07321298282667356,False,"NFLX,TSLA,LBTYK"
2016-08-31,recovery,0.8439539604032643,0.01624082391257589,False,"NVDA,AVGO,NTES"
2016-09-30,bull,0.8660317560429782,0.026159952646190067,False,"NVDA,AVGO,NTES"
2016-10-31,normal,0.9163982591473254,0.0581578016659329,False,"NVDA,AVGO,NTES"
2016-11-30,recovery,0.967199750163244,0.055436040508400244,False,"NVDA,AVGO,NTES"
2017-01-31,recovery,1.0240506036550765,0.05877881325159279,False,"NVDA,AVGO,NTES"
2017-02-28,recovery,1.0458605388881197,0.021297712393507095,False,"NVDA,AVGO,NTES"
2017-03-31,bull,1.0158352944590339,-0.028708650257525146,False,"NVDA,AVGO,NTES"
2017-05-31,recovery,1.022222235078387,0.007294672808014829,False,"NVDA,FAST,NFLX"
2017-06-30,bull,1.1292844636031678,0.10473478745702589,False,"NVDA,FAST,NFLX"
2017-07-31,recovery,1.123027301966669,-0.005540819729808634,False,"NVDA,FAST,NFLX"
2017-08-31,recovery,1.183981076219847,0.05427630668144448,False,"NVDA,FAST,NFLX"
2017-10-31,recovery,1.2113490436044834,0.023115206766661518,False,"NVDA,FAST,NFLX"
2017-11-30,recovery,1.2319410092907523,0.016999200845526315,False,"NVDA,FAST,NFLX"
2018-01-31,recovery,1.2593188353248082,0.02222332549008787,False,"NVDA,FAST,NFLX"
2018-02-28,bull,1.249630326166947,-0.006700152267880994,False,"NVDA,CSX,AVGO"
2018-04-30,recovery,1.3757003823461549,0.10088588083958284,False,"NVDA,CSX,AVGO"
2018-05-31,recovery,1.3379908556151583,-0.027411147961364755,False,"NVDA,CSX,AVGO"
2018-07-31,recovery,1.398972379251346,0.04557693603081509,False,"NVDA,CSX,AVGO"
2018-08-31,recovery,1.4739916785659515,0.05362457502895921,False,"NVDA,CSX,AVGO"
