split,from,to,n_months,strat_cagr_pct,qqq_cagr_pct,edge_pp,sharpe,max_dd_pct,n_cash_months
R3 2015-16,2015-01-31,2016-12-31,24,61.667997399963696,9.40567503545402,52.26232236450967,2.297004254684853,-10.453350401809525,1
R4 2017-19,2017-01-31,2019-12-31,36,27.373193141875007,20.5340671072733,6.839126034601706,1.0066588242253247,-28.143405278659785,0
R5 COVID 2020-22,2020-01-31,2022-12-31,36,12.093309552642317,7.357502542454508,4.735807010187809,0.5600725830654106,-46.28305148068177,1
R6 AI 2023-25,2023-01-31,2025-12-31,36,51.046348794663366,28.51741381039532,22.528934984268044,1.354939408359101,-26.234508438758798,0
STRICT 2022-25,2022-01-31,2025-12-31,48,5.524239015080523,14.773763144336982,-9.249524129256459,0.3261840425166623,-30.521774745949624,2
Post-COVID 2020-26,2020-01-31,2026-04-30,76,10.206405848024481,19.938617353289988,-9.732211505265509,0.48879034131283516,-46.28305148068177,1
