split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,max_dd
A1,2017-01-01,2022-12-31,52,0.35246932421704824,0.11444593478624232,23.802338943080592,1.420720525703715,-0.2111642505405367
A2,2018-01-01,2024-12-31,60,0.3711309490165777,0.18858986696136282,18.25410820552149,1.387441136267841,-0.21116425054053659
R1,2018-01-01,2020-12-31,26,0.3772263748607436,0.24965061478902628,12.757576007171734,1.3220054238629335,-0.21116425054053659
R2,2019-01-01,2021-12-31,25,0.44868819529155557,0.26877734180983137,17.99108534817242,1.4996324376876715,-0.21116425054053667
R3,2020-01-01,2022-12-31,26,0.39527687306418513,0.053620688766286895,34.16561842978982,1.527876603993787,-0.18193979495498205
R4,2021-01-01,2023-12-31,26,0.3503061608837834,0.056261431102619275,29.404472978116413,1.3786948968837371,-0.18193979495498205
R5,2022-01-01,2024-12-31,26,0.33615552258112746,0.15359121759897976,18.25643049821477,1.2474129844309838,-0.1747001583651096
STRICT,2023-01-01,2024-12-31,17,0.43611349731801097,0.4676727578905684,-3.1559260572557424,1.5058918215433108,-0.1171370836638067
