year,strategy_pct,spy_pct,qqq_pct,edge_pp
2015,-30.1320790360762,9.64807512902588,9.64807512902588,-39.780154165102076
2016,34.795885789716976,7.097894264822258,7.097894264822258,27.697991524894718
2017,24.93935329830672,32.66360058257833,32.66360058257833,-7.724247284271613
2018,-4.192619377387308,-0.1262234607380286,-0.1262234607380286,-4.066395916649279
2019,9.34091346212902,38.961555201138374,38.961555201138374,-29.620641739009358
2020,72.61411532881014,48.40607537913107,48.40607537913107,24.208039949679083
2021,32.02628050895859,27.41977388320329,27.41977388320329,4.606506625755302
2022,2.340936065954957,-32.57701925059426,-32.57701925059426,34.91795531654922
2023,50.190704248814285,54.85559910068098,54.85559910068098,-4.664894851866697
2024,40.76996504273771,25.578243542224133,25.578243542224133,15.191721500513577
2025,-29.156720454635597,20.772554704515755,20.772554704515755,-49.92927515915135
