year,strategy_pct,spy_pct,qqq_pct,edge_pp
2015,-23.38534733205281,1.2342672077436,1.2342672077436,-24.61961453979641
2016,26.621622433409332,11.997907724709055,11.997907724709055,14.623714708700275
2017,27.499431556520904,21.705424517878,21.705424517878,5.794007038642901
2018,19.492338122720643,-4.569001297783625,-4.569001297783625,24.061339420504268
2019,18.015668306828925,31.223845466663256,31.223845466663256,-13.208177159834333
2020,41.87258709640489,18.331634381392135,18.331634381392135,23.540952715012754
2021,29.27848705009952,28.728770997528088,28.728770997528088,0.5497160525714362
2022,12.203423554058613,-18.175373553165997,-18.175373553165997,30.37879710722461
2023,32.1511166861258,26.17579280754527,26.17579280754527,5.97532387858053
2024,26.36105550412666,24.886459603923306,24.886459603923306,1.474595900203357
2025,-27.50691574548233,17.719061307023452,17.719061307023452,-45.22597705250578
